ID_TERRITORIO,CODIGO,ID_NIVEL_TERRITORIAL,DESCRIPCION,ID_TERRITORIO_PADRE,PATH_DESCRIPCION,PATH_ID,PATH_CODIGO,NOMECLATURA,PATH_NOMECLATURA
1,593,1,ECUADOR,-1,ECUADOR,1,593,EC,EC
2,01,2,AZUAY,1,"ECUADOR AZUAY","1,2","593 01",NULL,NULL
3,02,2,BOLIVAR,1,"ECUADOR BOLIVAR","1,3","593 02",NULL,NULL
4,03,2,CAÑAR,1,"ECUADOR CAÑAR","1,4","593 03",NULL,NULL
5,04,2,CARCHI,1,"ECUADOR CARCHI","1,5","593 04",NULL,NULL
6,05,2,COTOPAXI,1,"ECUADOR COTOPAXI","1,6","593 05",NULL,NULL
7,06,2,CHIMBORAZO,1,"ECUADOR CHIMBORAZO","1,7","593 06",NULL,NULL
8,07,2,"EL ORO",1,"ECUADOR EL ORO","1,8","593 07",NULL,NULL
9,08,2,ESMERALDAS,1,"ECUADOR ESMERALDAS","1,9","593 08",ESM,"EC ESM"
10,09,2,GUAYAS,1,"ECUADOR GUAYAS","1,10","593 09",NULL,NULL
11,10,2,IMBABURA,1,"ECUADOR IMBABURA","1,11","593 10",NULL,NULL
12,11,2,LOJA,1,"ECUADOR LOJA","1,12","593 11",NULL,NULL
13,12,2,"LOS RIOS",1,"ECUADOR LOS RIOS","1,13","593 12",NULL,NULL
14,13,2,MANABI,1,"ECUADOR MANABI","1,14","593 13",MAN,"EC MAN"
15,14,2,"MORONA SANTIAGO",1,"ECUADOR MORONA SANTIAGO","1,15","593 14",NULL,NULL
16,15,2,NAPO,1,"ECUADOR NAPO","1,16","593 15",NULL,NULL
17,16,2,PASTAZA,1,"ECUADOR PASTAZA","1,17","593 16",NULL,NULL
18,17,2,PICHINCHA,1,"ECUADOR PICHINCHA","1,18","593 17",NULL,NULL
19,18,2,TUNGURAHUA,1,"ECUADOR TUNGURAHUA","1,19","593 18",NULL,NULL
20,19,2,"ZAMORA CHINCHIPE",1,"ECUADOR ZAMORA CHINCHIPE","1,20","593 19",NULL,NULL
21,20,2,GALAPAGOS,1,"ECUADOR GALAPAGOS","1,21","593 20",NULL,NULL
22,21,2,SUCUMBIOS,1,"ECUADOR SUCUMBIOS","1,22","593 21",NULL,NULL
23,22,2,ORELLANA,1,"ECUADOR ORELLANA","1,23","593 22",NULL,NULL
33,01,3,PORTOVIEJO,14,"ECUADOR MANABI PORTOVIEJO","1,14,33","593 13 01",POR,"EC MAN POR"
34,02,3,"BOLIVAR DE MANABI",14,"ECUADOR MANABI BOLIVAR","1,14,34","593 13 02",BOL,"EC MAN BOL"
35,03,3,CHONE,14,"ECUADOR MANABI CHONE","1,14,35","593 13 03",CHO,"EC MAN CHO"
36,04,3,"EL CARMEN",14,"ECUADOR MANABI EL CARMEN","1,14,36","593 13 04",CAR,"EC MAN CAR"
37,05,3,"FLAVIO ALFARO",14,"ECUADOR MANABI FLAVIO ALFARO","1,14,37","593 13 05",FAL,"EC MAN FAL"
38,06,3,JIPIJAPA,14,"ECUADOR MANABI JIPIJAPA","1,14,38","593 13 06",JIP,"EC MAN JIP"
39,07,3,JUNIN,14,"ECUADOR MANABI JUNIN","1,14,39","593 13 07",JUN,"EC MAN JIP"
40,08,3,MANTA,14,"ECUADOR MANABI MANTA","1,14,40","593 13 08",MAN,"EC MAN MAN"
41,09,3,MONTECRISTI,14,"ECUADOR MANABI MONTECRISTI","1,14,41","593 13 09",MON,"EC MAN MON"
42,10,3,PAJAN,14,"ECUADOR MANABI PAJAN","1,14,42","593 13 10",PAJ,"EC MAN PAJ"
43,11,3,PICHINCHA,14,"ECUADOR MANABI PICHINCHA","1,14,43","593 13 11",PIC,"EC MAN PIC"
44,12,3,ROCAFUERTE,14,"ECUADOR MANABI ROCAFUERTE","1,14,44","593 13 12",ROC,"EC MAN ROC"
45,13,3,"SANTA ANA",14,"ECUADOR MANABI SANTA ANA","1,14,45","593 13 13",SAN,"EC MAN SAN"
46,14,3,SUCRE,14,"ECUADOR MANABI SUCRE","1,14,46","593 13 14",SUC,"EC MAN SUC"
47,15,3,TOSAGUA,14,"ECUADOR MANABI TOSAGUA","1,14,47","593 13 15",TOS,"EC MAN TOS"
48,16,3,"VEINTICUATRO DE MAYO",14,"ECUADOR MANABI VEINTICUATRO DE MAYO","1,14,48","593 13 16",24M,"EC MAN 24M"
49,17,3,PEDERNALES,14,"ECUADOR MANABI PEDERNALES","1,14,49","593 13 17",PED,"EC MAN PED"
50,18,3,OLMEDO,14,"ECUADOR MANABI OLMEDO","1,14,50","593 13 18",OLM,"EC MAN OLM"
